GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes
SORBI_3004G004800	Soluble acid invertase	OS02G0106100 PROTEIN (PTHR31953:SF42)		hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-fructofuranosidase activity(GO:0004564)	carbohydrate metabolic process(GO:0005975)	vacuole(GO:0005773)	4	418239	423162	7.073687e-16	62	0.694313	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G005200	TMPIT-like protein	OS02G0106800 PROTEIN (PTHR21433:SF4)				membrane(GO:0016020)	4	442658	448774	7.073687e-16	62	0.705127	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G005300	Protein kinase domain-containing protein	OS02G0106900 PROTEIN (PTHR27001:SF522)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)			4	449691	457201	7.073687e-16	63	0.80856	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G005700	Peptidase S1 domain-containing protein	PEPTIDASE S1 DOMAIN-CONTAINING PROTEIN (PTHR18868:SF28)					4	473331	479945	7.073687e-16	63	0.692395	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G006400	Cytochrome P450	CYTOCHROME P450 89A2 (PTHR24298:SF892)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)		membrane(GO:0016020)	4	540868	542929	7.073687e-16	64	1	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G006500	Uncharacterized protein	PROTEIN ROH1A (PTHR31509:SF68)				membrane(GO:0016020)	4	547159	548445	7.073687e-16	7	0.597	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G006600	JmjC domain-containing protein	LYSINE-SPECIFIC DEMETHYLASE JMJ25 (PTHR12549:SF11)	histone modifying enzyme(PC00261)	transcription coregulator activity(GO:0003712);histone H3K9 demethylase activity(GO:0032454)	chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357)	histone deacetylase complex(GO:0000118);nucleus(GO:0005634)	4	557329	568329	7.073687e-16	58	0.859748	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G006700	Uncharacterized protein	OS02G0109800 PROTEIN (PTHR46284:SF9)	microtubule binding motor protein(PC00156)				4	569120	572297	7.073687e-16	58	0.859748	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G006800	Uncharacterized protein	DENEDDYLASE (PTHR35694:SF1)					4	581473	588419	7.073687e-16	58	0.819279	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
SORBI_3004G006900	F-box domain-containing protein	F-BOX PROTEIN INTERACTION DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR47993:SF359)					4	588992	602915	7.073687e-16	64	0.836334	13	FA; Sum_AEG_over_FA_log10ratio; Sum_DGDG_over_FA_log10ratio; Sum_FA_over_DG_log10ratio; Sum_FA_over_MG_log10ratio; Sum_FA_over_PA_log10ratio; Sum_FA_over_PC_log10ratio; Sum_FA_over_PE_log10ratio; Sum_FA_over_PG_log10ratio; Sum_FA_over_TG_log10ratio; Sum_GalCer_over_FA_log10ratio; Sum_MGDG_over_FA_log10ratio; Sum_SQDG_over_FA_log10ratio
