GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes
SORBI_3001G522600	CW-type domain-containing protein	OS04G0425100 PROTEIN (PTHR10615:SF172)	histone modifying enzyme(PC00261)	chromatin binding(GO:0003682);transcription coregulator activity(GO:0003712);histone acetyltransferase activity(GO:0004402);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357)	chromatin(GO:0000785);nucleus(GO:0005634)	1	78750598	78763175	4.5016e-35	1	1	3	TG(16:0_18:0_18:2); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2)
SORBI_3008G089700	SGF29 C-terminal domain-containing protein	SAGA-ASSOCIATED FACTOR 29 (PTHR21539:SF0)	""	""	chromatin organization(GO:0006325);response to stress(GO:0006950)	SAGA complex(GO:0000124);nucleus(GO:0005634)	8	32810818	32882137	5.422097e-31	1	1	4	gibberellic acid; TG(16:0_18:0_18:2); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2)
SORBI_3006G040500	Phospholipid-transporting ATPase	PHOSPHOLIPID-TRANSPORTING ATPASE (PTHR24092:SF199)	primary active transporter(PC00068)	nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872);ATPase-coupled intramembrane lipid transporter activity(GO:0140326)	phospholipid transport(GO:0015914);phospholipid translocation(GO:0045332)	plasma membrane(GO:0005886);membrane(GO:0016020)	6	25522678	25574669	1.005649e-26	36	1	27	TG(10:0_10:0_10:0); TG(10:0_14:0_16:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_16:0); TG(12:0_14:0_18:1); TG(12:0_14:0_18:3); TG(12:0_16:0_18:1); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(14:0_14:0_16:1); TG(14:0_18:1_18:2); TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)
SORBI_3002G332750							2	70119548	70128689	3.936897e-23	10	1	6	LPC(18:3); PC(18:0_18:2); PC(18:1_18:1); PC(18:1_20:4); PC(18:2_0:0); PC(18:3_0:0)
SORBI_3008G092800	AAA+ ATPase domain-containing protein	FIDGETIN-LIKE PROTEIN 1 (PTHR23074:SF17)	non-motor microtubule binding protein(PC00166)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);microtubule severing ATPase activity(GO:0008568);ATP hydrolysis activity(GO:0016887)	microtubule severing(GO:0051013)	nucleus(GO:0005634);cytoplasm(GO:0005737)	8	41491257	41512661	1.515294e-21	2	1	2	9,12,13,TriHODE; AEG(o-15:2_15:0)
SORBI_3002G142600	FCP1 homology domain-containing protein	HALOACID DEHALOGENASE-LIKE HYDROLASE (HAD) SUPERFAMILY PROTEIN (PTHR12210:SF195)	protein phosphatase(PC00195)	""	protein transport(GO:0015031);protein import into mitochondrial matrix(GO:0030150)	mitochondrial inner membrane(GO:0005743);TIM23 mitochondrial import inner membrane translocase complex(GO:0005744);membrane(GO:0016020)	2	23355096	23362354	6.227707e-19	6	1	3	9,12,13,TriHODE; DG(16:0_18:0); Oxo fatty acid (18:3)
SORBI_3009G092100							9	20912936	20928927	1.337362e-17	4	1	12	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)
SORBI_3003G389800	Uncharacterized protein	CMP-SIALIC ACID TRANSPORTER 3 (PTHR10231:SF86)	transporter(PC00227)	pyrimidine nucleotide-sugar transmembrane transporter activity(GO:0015165);transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085);pyrimidine nucleotide-sugar transmembrane transport(GO:0090481)	Golgi membrane(GO:0000139);membrane(GO:0016020)	3	70105217	70113437	1.702729e-17	7	1	4	PC(18:1_22:1); TG(18:1_20:1_22:1); TG(18:1_20:3_22:0); TG(18:2_22:0_22:3)
SORBI_3005G148500	FBD domain-containing protein	""	""	""	""	""	5	61659987	61667430	1.551627e-16	1	0.511363	13	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:0_18:1_22:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)
SORBI_3005G149000	Saccharopine dehydrogenase NADP binding domain-containing protein	""	""	""	""	""	5	61740897	61747039	1.551627e-16	1	0.746094	13	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:0_18:1_22:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)
SORBI_3001G318000	glutathione transferase	GLUTATHIONE S-TRANSFERASE (PTHR11260:SF501)	transferase(PC00220)	glutathione transferase activity(GO:0004364);transferase activity(GO:0016740)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737)	1	60644084	60645212	3.053225e-16	3	0.59527	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)
SORBI_3001G318100	Uncharacterized protein	""	""	""	""	""	1	60647011	60650614	3.053225e-16	3	1	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)
SORBI_3001G320500	DUF4378 domain-containing protein	OS10G0524000 PROTEIN (PTHR33623:SF14)	""	""	""	""	1	60809478	60814931	3.053225e-16	1	0.420946	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)
SORBI_3004G139400							4	39987008	39995517	4.314417e-15	3	1	1	gibberellic acid
SORBI_3006G049700	SAM domain-containing protein	""	""	""	""	""	6	36626672	36630941	6.595057e-15	3	0.920518	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)
SORBI_3006G049900	J domain-containing protein	DNAJ HOMOLOG SUBFAMILY C MEMBER 2 (PTHR43999:SF1)	chaperone(PC00072)	Hsp70 protein binding(GO:0030544);ribosome binding(GO:0043022)	regulation of translational fidelity(GO:0006450);'de novo' cotranslational protein folding(GO:0051083)	endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)	6	36790405	36795881	6.595057e-15	3	0.924783	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)
SORBI_3006G050000	Rab-GAP TBC domain-containing protein	RAB-GAP TBC DOMAIN-CONTAINING PROTEIN (PTHR22957:SF690)	GTPase-activating protein(PC00257)	GTPase activator activity(GO:0005096)	intracellular protein transport(GO:0006886)	cytoplasm(GO:0005737)	6	36803025	36807791	6.595057e-15	3	0.475508	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)
SORBI_3006G050050	Uncharacterized protein	""	""	""	""	""	6	36893354	36896021	6.595057e-15	3	0.932892	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)
