GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3002G026700	C2H2-type domain-containing protein					
SORBI_3001G354900	Uncharacterized protein					
SORBI_3009G084700	Uncharacterized protein					
SORBI_3001G037400	Protein kinase domain-containing protein	LEUCINE-RICH REPEAT PROTEIN KINASE FAMILY PROTEIN (PTHR27008:SF11)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3002G002000	Uncharacterized protein	OS07G0102200 PROTEIN (PTHR31071:SF32)				
SORBI_3001G383000	Uncharacterized protein	OS03G0332500 PROTEIN (PTHR11726:SF41)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	translation(GO:0006412);response to UV-B(GO:0010224)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625)
SORBI_3010G140550	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3004G044700	Protein kinase domain-containing protein	OS02G0154975 PROTEIN (PTHR27000:SF756)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	signal transduction(GO:0007165)	plasma membrane(GO:0005886)
SORBI_3010G133400	Damage-control phosphatase ARMT1-like metal-binding domain-containing protein	4'-PHOSPHOPANTETHEINE PHOSPHATASE (PTHR12280:SF35)	kinase(PC00137)	ATP binding(GO:0005524)	coenzyme A biosynthetic process(GO:0015937)	nucleus(GO:0005634);cytosol(GO:0005829)
SORBI_3001G264100	Uncharacterized protein	NADP-DEPENDENT MANNITOL DEHYDROGENASE (PTHR42898:SF6)	reductase(PC00198)	oxidoreductase activity(GO:0016491)		
SORBI_3001G512500	"Protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic"	OS03G0137300 PROTEIN (PTHR33372:SF10)				
SORBI_3001G457200	Mitochondrial carrier protein	MITOCHONDRIAL MAGNESIUM EXPORTER 1 (PTHR45667:SF7)	mitochondrial carrier protein(PC00158)		transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3009G069500	Histidine-containing phosphotransfer protein	HISTIDINE-CONTAINING PHOSPHOTRANSFER PROTEIN 4 (PTHR28242:SF43)		histidine phosphotransfer kinase activity(GO:0009927);protein histidine kinase binding(GO:0043424)	phosphorelay signal transduction system(GO:0000160)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3004G312600	RING-type domain-containing protein	E3 UBIQUITIN-PROTEIN LIGASE COP1 (PTHR44080:SF1)	ubiquitin-protein ligase(PC00234)	identical protein binding(GO:0042802);ubiquitin protein ligase activity(GO:0061630)	proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161)	nucleus(GO:0005634)
SORBI_3003G407600	Protein MAK16 homolog	PROTEIN MAK16 HOMOLOG (PTHR23405:SF4)			maturation of 5.8S rRNA(GO:0000460);maturation of LSU-rRNA(GO:0000470);ribosomal large subunit biogenesis(GO:0042273)	"nucleus(GO:0005634);nucleolus(GO:0005730);preribosome(GO:0030684);preribosome, large subunit precursor(GO:0030687)"
SORBI_3002G025400	DUF4220 domain-containing protein	DUF4220 DOMAIN-CONTAINING PROTEIN (PTHR31325:SF117)				
SORBI_3001G382800	ABC transporter domain-containing protein	"ABC TRANSPORTER I FAMILY MEMBER 6, CHLOROPLASTIC (PTHR43204:SF1)"	ATP-binding cassette (ABC) transporter(PC00003)	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	iron-sulfur cluster assembly(GO:0016226)	iron-sulfur cluster assembly complex(GO:1990229)
SORBI_3003G080000	Protein kinase domain-containing protein	OS01G0138300 PROTEIN (PTHR27009:SF97)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)		membrane(GO:0016020)
SORBI_3002G009401	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR32133:SF386)				
SORBI_3006G186800	Polyprenol reductase	POLYPRENOL REDUCTASE (PTHR14624:SF0)		"oxidoreductase activity, acting on the CH-CH group of donors(GO:0016627);polyprenal reductase activity(GO:0160198)"	dolichol-linked oligosaccharide biosynthetic process(GO:0006488);lipid metabolic process(GO:0006629);dolichyl monophosphate biosynthetic process(GO:0043048)	plasma membrane(GO:0005886);endomembrane system(GO:0012505)
SORBI_3004G230900	RRM domain-containing protein	RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN (PTHR11176:SF23)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
SORBI_3010G029800	Transcription factor CBF_NF-Y_archaeal histone domain-containing protein	TRANSCRIPTION FACTOR CBF_NF-Y_ARCHAEAL HISTONE DOMAIN-CONTAINING PROTEIN (PTHR11064:SF162)	DNA-binding transcription factor(PC00218)	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);protein heterodimerization activity(GO:0046982)"	regulation of transcription by RNA polymerase II(GO:0006357)	CCAAT-binding factor complex(GO:0016602)
SORBI_3002G263700	Bromo domain-containing protein	TAT-BINDING HOMOLOG 7 (PTHR23069:SF0)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	chromatin binding(GO:0003682);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	nucleosome assembly(GO:0006334);nucleosome disassembly(GO:0006337);transcription initiation-coupled chromatin remodeling(GO:0045815)	nucleus(GO:0005634)
SORBI_3004G135300	Secreted protein					
SORBI_3007G181500	AP2_ERF domain-containing protein	DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1D (PTHR31839:SF11)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3002G010200	C2 domain-containing protein	OS07G0108500 PROTEIN (PTHR45933:SF3)		GTPase activator activity(GO:0005096)		nucleus(GO:0005634);plasma membrane(GO:0005886)
SORBI_3009G119501	Uncharacterized protein					
SORBI_3003G159450	Uncharacterized protein					
SORBI_3008G098900	ubiquitinyl hydrolase 1	UBIQUITINYL HYDROLASE 1 (PTHR24006:SF927)	cysteine protease(PC00081)	cysteine-type deubiquitinase activity(GO:0004843)	jasmonic acid mediated signaling pathway(GO:0009867);maintenance of root meristem identity(GO:0010078);protein deubiquitination(GO:0016579);regulation of protein stability(GO:0031647);regulation of root development(GO:2000280)	nucleus(GO:0005634);cytoplasm(GO:0005737)
SORBI_3003G391000	Fungal lipase-like domain-containing protein	"PHOSPHOLIPASE A1 EG1, CHLOROPLASTIC_MITOCHONDRIAL (PTHR31403:SF58)"	phospholipase(PC00186)	glycerophospholipase activity(GO:0004620);glycerophospholipid phospholipase A1 activity(GO:0008970)	lipid metabolic process(GO:0006629)	chloroplast(GO:0009507)
SORBI_3003G120800	AT4G36440-like protein	G-PROTEIN COUPLED RECEPTOR (PTHR35752:SF1)	G-protein coupled receptor(PC00021)			
SORBI_3001G033000	Ribosomal RNA methyltransferase FtsJ domain-containing protein	"RRNA METHYLTRANSFERASE 2, MITOCHONDRIAL (PTHR10920:SF18)"	RNA methyltransferase(PC00033)	methyltransferase activity(GO:0008168);rRNA (uridine-2'-O-ribose)-methyltransferase activity(GO:0008650)	ribosomal large subunit assembly(GO:0000027);rRNA methylation(GO:0031167)	
SORBI_3006G231100	Wound induced protein	WOUND INDUCED PROTEIN (PTHR33090:SF82)				
SORBI_3010G092600	NOD26-like major intrinsic protein	AQUAPORIN NIP2-2 (PTHR45724:SF9)		channel activity(GO:0015267)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3002G156200	Ycf20-like protein	YCF20-LIKE PROTEIN (PTHR33787:SF4)				
SORBI_3003G106900	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR33384:SF20)				
SORBI_3007G182700	DNA polymerase delta subunit 4	DNA POLYMERASE DELTA SUBUNIT 4 (PTHR14303:SF16)	DNA-directed DNA polymerase(PC00018)	DNA-directed DNA polymerase activity(GO:0003887)	DNA synthesis involved in DNA repair(GO:0000731);DNA replication(GO:0006260);DNA-templated DNA replication(GO:0006261)	delta DNA polymerase complex(GO:0043625)
SORBI_3002G024400	Carboxypeptidase	SERINE CARBOXYPEPTIDASE-LIKE 27 (PTHR11802:SF198)	serine protease(PC00203)	serine-type carboxypeptidase activity(GO:0004185)	proteolysis(GO:0006508)	
SORBI_3005G190600	BTB domain-containing protein				protein ubiquitination(GO:0016567)	
SORBI_3008G093300	Uncharacterized protein					
SORBI_3003G420400	PIG-P domain-containing protein	TRANSMEMBRANE PROTEIN (PTHR36485:SF1)				
SORBI_3002G111700	DYW domain-containing protein	OS07G0299800 PROTEIN (PTHR47928:SF73)		RNA binding(GO:0003723);zinc ion binding(GO:0008270)	RNA modification(GO:0009451)	
SORBI_3010G055800	Cdk-activating kinase assembly factor MAT1 centre domain-containing protein	CDK-ACTIVATING KINASE ASSEMBLY FACTOR MAT1 (PTHR12683:SF13)	chaperone(PC00072)		DNA repair(GO:0006281);regulation of transcription by RNA polymerase II(GO:0006357)	transcription factor TFIIH holo complex(GO:0005675)
SORBI_3007G101600	Uncharacterized protein					
SORBI_3003G104800	Uncharacterized protein	METHYLTRANSFERASE TCM_000168-RELATED (PTHR31009:SF18)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168)		
SORBI_3009G026800	Protein kinase domain-containing protein	L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE VIII.1 (PTHR27007:SF265)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);carbohydrate binding(GO:0030246)		plasma membrane(GO:0005886)
SORBI_3003G079775	Uncharacterized protein					
SORBI_3008G076200	aldehyde oxygenase (deformylating)			iron ion binding(GO:0005506);aldehyde oxygenase (deformylating) activity(GO:0071771)	response to stress(GO:0006950);lipid biosynthetic process(GO:0008610)	endoplasmic reticulum membrane(GO:0005789)
SORBI_3003G165551	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3002G004100	Kinesin-like protein	KINESIN-LIKE PROTEIN KIFC1 (PTHR24115:SF578)	microtubule binding motor protein(PC00156)	nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)	microtubule-based movement(GO:0007018)	kinesin complex(GO:0005871)
SORBI_3002G069700	TIR domain-containing protein	OS07G0566800 PROTEIN (PTHR32009:SF131)			signal transduction(GO:0007165)	
SORBI_3010G128200	DUF4220 domain-containing protein	OSJNBB0045P24.5-LIKE PROTEIN (PTHR31325:SF267)				
SORBI_3006G010500	C2 domain-containing protein	PROTEIN SRC2-LIKE PROTEIN (PTHR32246:SF170)			defense response(GO:0006952)	
SORBI_3002G042000	Alpha_beta hydrolase fold-3 domain-containing protein	ALPHA_BETA HYDROLASE FOLD-3 DOMAIN-CONTAINING PROTEIN (PTHR23024:SF613)	deacetylase(PC00087)	hydrolase activity(GO:0016787)		
SORBI_3004G183600	"GTP 3',8-cyclase"	MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN 1 (PTHR22960:SF0)		"catalytic activity(GO:0003824);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);4 iron, 4 sulfur cluster binding(GO:0051539);GTP 3',8'-cyclase activity(GO:0061798);cyclic pyranopterin monophosphate synthase activity(GO:0061799)"	Mo-molybdopterin cofactor biosynthetic process(GO:0006777)	mitochondrial matrix(GO:0005759)
SORBI_3001G436500	DUF641 domain-containing protein	CYCLIN-DEPENDENT KINASE-LIKE PROTEIN (PTHR31029:SF4)				
SORBI_3001G251400	Uncharacterized protein					
SORBI_3002G228500	Alpha_beta hydrolase fold-3 domain-containing protein	OS09G0462200 PROTEIN (PTHR23024:SF392)	deacetylase(PC00087)	hydrolase activity(GO:0016787)		
SORBI_3010G141001	C-terminal associated domain-containing protein			"DNA binding(GO:0003677);DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity(GO:0003918);ATP binding(GO:0005524)"	DNA topological change(GO:0006265)	
SORBI_3001G190400	Endonuclease_exonuclease_phosphatase domain-containing protein	TYROSYL-DNA PHOSPHODIESTERASE 2 (PTHR15822:SF4)		single-stranded DNA binding(GO:0003697);catalytic activity(GO:0003824);5'-tyrosyl-DNA phosphodiesterase activity(GO:0070260)	double-strand break repair(GO:0006302)	cytoplasm(GO:0005737);PML body(GO:0016605)
SORBI_3008G062500	Glycine cleavage system H protein	"GLYCINE CLEAVAGE SYSTEM H PROTEIN 1, MITOCHONDRIAL-RELATED (PTHR11715:SF27)"			glycine decarboxylation via glycine cleavage system(GO:0019464)	mitochondrion(GO:0005739);glycine cleavage complex(GO:0005960)
SORBI_3007G157000	Protein transport protein SEC23	PROTEIN TRANSPORT PROTEIN SEC23 C (PTHR11141:SF2)	vesicle coat protein(PC00235)	GTPase activator activity(GO:0005096);zinc ion binding(GO:0008270)	intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);COPII-coated vesicle cargo loading(GO:0090110);COPII-coated vesicle budding(GO:0090114)	endoplasmic reticulum membrane(GO:0005789);ER to Golgi transport vesicle membrane(GO:0012507);COPII vesicle coat(GO:0030127)
SORBI_3010G053700	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33127:SF96)				
SORBI_3004G252700	Uncharacterized protein					
SORBI_3002G043700	C2 domain-containing protein	MULTIPLE C2 DOMAIN AND TRANSMEMBRANE REGION PROTEIN 16 (PTHR31425:SF35)	transferase(PC00220)		regulation of signal transduction(GO:0009966)	membrane(GO:0016020)
