Trial,Layer,Interval_Mb,N_genes,Gene,Function,N_Phenotypes,Best_P_Value,Max_r2
CTL,Sums / ratios,3:64.63--64.63,1,SORBI_3003G318650,Uncharacterized protein,64,3.37063e-12,0.9
CTL,Sums / ratios,2:73.01--73.28,6,SORBI_3002G371500,RRM domain-containing protein,56,1.590391e-11,0.94
CTL,Sums / ratios,9:50.91--50.98,3,SORBI_3009G152800,MFS transporter domain protein,53,1.946785e-10,0.77
CTL,Sums / ratios,10:20.53--20.94,7,SORBI_3010G136200,SLH domain-containing protein,34,4.284987e-23,0.95
CTL,Sums / ratios,10:39.42--39.42,1,SORBI_3010G144500,Uncharacterized protein,34,1.30833e-21,0.81
CTL,Individual lipids,6:25.52--25.57,1,SORBI_3006G040500,Phospholipid-transporting ATPase,25,1.005649e-26,1
CTL,Individual lipids,5:61.66--61.75,2,SORBI_3005G148500,FBD domain-containing protein,13,1.551627e-16,0.75
CTL,Individual lipids,10:32.68--32.68,1,SORBI_3010G140800,Uncharacterized protein,13,1.235556e-14,0.93
CTL,Individual lipids,9:20.91--20.93,1,SORBI_3009G092100,Uncharacterized protein,12,1.337362e-17,1
CTL,Individual lipids,5:24.10--24.13,2,SORBI_3005G110120,Uncharacterized protein,12,8.186128e-15,0.83
LIN,Sums / ratios,4:0.42--0.78,27,SORBI_3004G004800,Soluble acid invertase,20,2.605726e-21,1
LIN,Sums / ratios,3:7.54--7.78,15,SORBI_3003G087100,"Protein MAO HUZI 4, chloroplastic",19,4.464413e-20,1
LIN,Sums / ratios,10:43.37--43.77,10,SORBI_3010G150325,F-box domain-containing protein,16,3.732413e-11,0.9
LIN,Sums / ratios,1:7.56--8.03,33,SORBI_3001G101700,SS18 N-terminal domain protein,15,7.419754e-14,1
LIN,Sums / ratios,1:8.02--8.03,2,SORBI_3001G104800,Uncharacterized protein,15,1.382095e-13,0.77
LIN,Individual lipids,3:29.13--29.18,1,SORBI_3003G169600,Mitochondrial carrier protein,12,6.983884e-67,1
LIN,Individual lipids,10:5.08--5.09,1,SORBI_3010G064200,"1,3-beta-glucan synthase",12,3.397631e-16,1
LIN,Individual lipids,7:28.03--28.04,1,SORBI_3007G102400,Aminotransferase-like domain protein,8,1.96846e-12,1
LIN,Individual lipids,10:43.19--43.39,9,SORBI_3010G150325,F-box domain-containing protein,7,1.414455e-18,1
LIN,Individual lipids,2:14.26--14.49,13,SORBI_3002G115900,Uncharacterized protein,7,3.761098e-13,1
