Condition,Recurrence_set,GO_term,GO_ID,N_candidate_genes,Fold_enrichment,FDR_q_value,N_independent_loci,Max_genes_in_one_locus,Locus_verdict,Loci,Contributing_genes
CTL,top 10% (recurrence >=55),carbohydrate transmembrane transport,GO:0034219,6,11.91,2.10e-04,1,6,single locus,chr2:71735011-71762549(6g),SORBI_3002G353900;SORBI_3002G354000;SORBI_3002G354100;SORBI_3002G354200;SORBI_3002G354300;SORBI_3002G354400
CTL,top 10% (recurrence >=55),regulation of defense response to fungus,GO:1900150,5,13.58,3.12e-04,4,2,multi-locus,chr2:72921193(1g); chr2:76743928(1g); chr6:41106786-41137508(2g); chr6:41263485(1g),SORBI_3002G370100;SORBI_3002G420200;SORBI_3006G060200;SORBI_3006G060400;SORBI_3006G060800
CTL,top 10% (recurrence >=55),sterol metabolic process,GO:0016125,3,15.48,6.72e-03,1,3,single locus,chr3:9642783-9671207(3g),SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800
CTL,top 5% (recurrence >=67),regulation of defense response to fungus,GO:1900150,3,17.36,6.95e-03,2,2,mostly one locus,chr2:76743928(1g); chr6:41106786-41137508(2g),SORBI_3002G420200;SORBI_3006G060200;SORBI_3006G060400
CTL,top 5% (recurrence >=67),cell wall modification,GO:0042545,3,11.37,1.09e-02,2,2,mostly one locus,chr2:72944650(1g); chr5:837742-858323(2g),SORBI_3002G370300;SORBI_3005G009600;SORBI_3005G009900
CTL,top 5% (recurrence >=67),DNA recombination,GO:0006310,3,10.31,1.09e-02,3,1,multi-locus,chr1:17142817(1g); chr2:71507771(1g); chr2:76730989(1g),SORBI_3001G192900;SORBI_3002G351100;SORBI_3002G420000
CTL,top 5% (recurrence >=67),pectin catabolic process,GO:0045490,3,8.91,1.24e-02,2,2,mostly one locus,chr2:72944650(1g); chr5:837742-858323(2g),SORBI_3002G370300;SORBI_3005G009600;SORBI_3005G009900
CTL,top 1% (recurrence >=68),regulation of defense response to fungus,GO:1900150,3,23.04,1.37e-03,2,2,mostly one locus,chr2:76743928(1g); chr6:41106786-41137508(2g),SORBI_3002G420200;SORBI_3006G060200;SORBI_3006G060400
LIN,top 10% (recurrence >=11),flavonoid biosynthetic process,GO:0009813,5,7.69,1.84e-02,2,3,mostly one locus,chr4:55222892-55263114(3g); chr6:57203879-57207254(2g),SORBI_3004G200800;SORBI_3004G200900;SORBI_3004G201100;SORBI_3006G227200;SORBI_3006G227300
LIN,top 5% (recurrence >=16),flavonoid biosynthetic process,GO:0009813,5,15.91,2.66e-04,2,3,mostly one locus,chr4:55222892-55263114(3g); chr6:57203879-57207254(2g),SORBI_3004G200800;SORBI_3004G200900;SORBI_3004G201100;SORBI_3006G227200;SORBI_3006G227300
LIN,top 5% (recurrence >=16),methionine biosynthetic process,GO:0009086,3,13.36,1.72e-02,2,2,mostly one locus,chr1:25136296-25143469(2g); chr1:29946586(1g),SORBI_3001G243100;SORBI_3001G243200;SORBI_3001G256700
LIN,top 5% (recurrence >=16),glucan metabolic process,GO:0044042,3,8.35,3.64e-02,3,1,multi-locus,chr1:80075756(1g); chr1:80139607(1g); chr7:13994743(1g),SORBI_3001G538000;SORBI_3001G538800;SORBI_3007G090463
LIN,top 5% (recurrence >=16),cellular response to phosphate starvation,GO:0016036,3,8.35,3.64e-02,2,2,mostly one locus,chr1:31011956(1g); chr3:7732199-7738269(2g),SORBI_3001G259100;SORBI_3003G088800;SORBI_3003G088900
LIN,top 5% (recurrence >=16),innate immune response-activating signaling pathway,GO:0002758,3,7.03,4.80e-02,3,1,multi-locus,chr2:6062977(1g); chr5:71083139(1g); chr10:58399824(1g),SORBI_3002G062700;SORBI_3005G224000;SORBI_3010G242900
LIN,top 1% (recurrence >=31),protein ubiquitination,GO:0016567,7,5.26,5.85e-04,2,6,mostly one locus,chr5:69847785(1g); chr7:9715398-9746997(6g),SORBI_3005G212300;SORBI_3007G081701;SORBI_3007G081800;SORBI_3007G081900;SORBI_3007G082000;SORBI_3007G082100;SORBI_3007G082300
