condition,layer,GeneID,trait,max_r2,best_p
CTL,individual,SORBI_3001G021000,TG(16:0_18:1_20:0),0.473554,4.680331e-09
CTL,individual,SORBI_3001G021200,TG(16:0_18:1_20:0),0.463328,4.680331e-09
CTL,individual,SORBI_3001G021400,TG(16:0_18:1_20:0),0.456224,4.680331e-09
CTL,individual,SORBI_3001G021500,TG(16:0_18:1_20:0),0.609646,4.680331e-09
CTL,individual,SORBI_3001G021601,TG(16:0_18:1_20:0),0.632113,4.680331e-09
CTL,individual,SORBI_3001G021700,TG(16:0_18:1_20:0),0.872261,4.680331e-09
CTL,individual,SORBI_3001G021800,TG(16:0_18:1_20:0),0.872261,4.680331e-09
CTL,individual,SORBI_3001G021900,TG(16:0_18:1_20:0),0.872213,4.680331e-09
CTL,individual,SORBI_3001G021900,TG(18:1_20:0_22:1),0.438869,5.0281e-09
CTL,individual,SORBI_3001G022000,TG(16:0_18:1_20:0),0.857926,4.680331e-09
CTL,individual,SORBI_3001G022000,TG(18:1_20:0_22:1),0.546413,5.0281e-09
CTL,individual,SORBI_3001G022100,TG(16:0_18:1_20:0),0.884761,4.680331e-09
CTL,individual,SORBI_3001G022100,TG(18:1_20:0_22:1),0.492107,5.0281e-09
CTL,individual,SORBI_3001G022200,TG(16:0_18:1_20:0),0.884761,4.680331e-09
CTL,individual,SORBI_3001G022200,TG(18:1_20:0_22:1),0.445572,5.0281e-09
CTL,individual,SORBI_3001G022500,TG(16:0_18:1_20:0),0.978363,4.680331e-09
CTL,individual,SORBI_3001G022500,TG(18:1_20:0_22:1),0.513432,5.0281e-09
CTL,individual,SORBI_3001G022600,TG(16:0_18:1_20:0),0.978363,4.680331e-09
CTL,individual,SORBI_3001G022600,TG(18:1_20:0_22:1),0.490381,5.0281e-09
CTL,individual,SORBI_3001G022700,TG(16:0_18:1_20:0),0.978363,4.680331e-09
CTL,individual,SORBI_3001G022800,TG(16:0_18:1_20:0),0.988711,4.680331e-09
CTL,individual,SORBI_3001G022900,TG(16:0_18:1_20:0),0.978363,4.680331e-09
CTL,individual,SORBI_3001G022900,TG(18:1_20:0_22:1),0.513432,5.0281e-09
CTL,individual,SORBI_3001G023000,TG(18:1_20:0_22:1),0.513432,5.0281e-09
CTL,individual,SORBI_3001G023100,TG(18:1_20:0_22:1),0.513432,5.0281e-09
CTL,individual,SORBI_3001G023200,TG(18:1_20:0_22:1),0.557802,5.0281e-09
CTL,individual,SORBI_3001G023300,TG(18:1_20:0_22:1),0.602634,5.0281e-09
CTL,individual,SORBI_3001G023400,TG(18:1_20:0_22:1),0.612631,5.0281e-09
CTL,individual,SORBI_3001G023500,TG(18:1_20:0_22:1),0.668044,5.0281e-09
CTL,individual,SORBI_3001G023600,TG(18:1_20:0_22:1),0.668044,5.0281e-09
CTL,individual,SORBI_3001G023700,TG(18:1_20:0_22:1),0.687936,5.0281e-09
CTL,individual,SORBI_3001G023800,TG(18:1_20:0_22:1),0.667583,5.0281e-09
CTL,individual,SORBI_3001G023900,TG(18:1_20:0_22:1),0.649914,5.0281e-09
CTL,individual,SORBI_3001G024000,TG(18:1_20:0_22:1),0.724006,5.0281e-09
CTL,individual,SORBI_3001G024100,TG(18:1_20:0_22:1),0.496062,5.0281e-09
CTL,individual,SORBI_3001G024200,TG(18:1_20:0_22:1),0.716742,5.0281e-09
CTL,individual,SORBI_3001G024250,TG(18:1_20:0_22:1),0.639568,5.0281e-09
CTL,individual,SORBI_3001G024400,TG(18:1_20:0_22:1),0.685245,5.0281e-09
CTL,individual,SORBI_3001G122100,TG(10:0_10:0_10:0),0.533923,2.499299e-09
CTL,individual,SORBI_3001G122200,TG(10:0_10:0_10:0),0.533923,2.499299e-09
CTL,individual,SORBI_3001G122600,TG(10:0_10:0_10:0),0.608283,2.499299e-09
CTL,individual,SORBI_3001G122700,TG(10:0_10:0_10:0),0.54752,2.499299e-09
CTL,individual,SORBI_3001G126000,TG(10:0_10:0_10:0),0.759675,1.177076e-10
CTL,individual,SORBI_3001G126000,TG(10:0_16:1_18:1),0.759675,5.20382e-09
CTL,individual,SORBI_3001G126000,TG(12:0_14:0_18:3),0.759675,9.484836e-10
CTL,individual,SORBI_3001G126400,TG(10:0_10:0_10:0),0.622012,1.177076e-10
CTL,individual,SORBI_3001G126400,TG(10:0_16:1_18:1),0.622012,5.20382e-09
CTL,individual,SORBI_3001G126400,TG(12:0_14:0_18:3),0.622012,9.484836e-10
CTL,individual,SORBI_3001G127300,TG(10:0_10:0_10:0),0.433328,1.177076e-10
CTL,individual,SORBI_3001G127300,TG(10:0_16:1_18:1),0.433328,5.20382e-09
CTL,individual,SORBI_3001G127300,TG(12:0_14:0_18:3),0.433328,9.484836e-10
CTL,individual,SORBI_3001G206100,TG(16:0_16:0_18:1),1,1.263219e-10
CTL,individual,SORBI_3001G206100,TG(16:0_16:0_20:1),1,1.187964e-11
CTL,individual,SORBI_3001G206100,TG(16:0_18:0_18:2),1,5.111936e-11
CTL,individual,SORBI_3001G206100,TG(16:0_18:1_18:1),1,2.556959e-12
CTL,individual,SORBI_3001G206100,TG(16:0_18:1_18:2),1,1.282767e-10
CTL,individual,SORBI_3001G206100,TG(16:0_18:1_20:0),1,2.483494e-10
CTL,individual,SORBI_3001G206100,TG(16:0_18:1_20:1),1,8.515283e-11
CTL,individual,SORBI_3001G206100,TG(16:0_18:1_20:2),1,1.387607e-09
CTL,individual,SORBI_3001G206100,TG(16:1_18:1_18:1),1,3.407265e-11
CTL,individual,SORBI_3001G206100,TG(18:0_18:2_18:2),1,2.376987e-11
CTL,individual,SORBI_3001G206100,TG(18:1_18:2_18:2),1,4.524567e-09
CTL,individual,SORBI_3001G220066,TG(16:0_16:0_18:1),0.455934,2.42612e-09
CTL,individual,SORBI_3001G220066,TG(16:0_16:0_20:1),0.455934,1.102206e-09
CTL,individual,SORBI_3001G220066,TG(16:0_18:0_18:2),0.455934,4.207002e-09
CTL,individual,SORBI_3001G220066,TG(16:0_18:1_18:1),0.455934,2.037244e-09
CTL,individual,SORBI_3001G220066,TG(16:0_18:1_20:1),0.455934,5.547899e-09
CTL,individual,SORBI_3001G220066,TG(18:0_18:2_18:2),0.44296,5.692983e-09
CTL,individual,SORBI_3001G220300,TG(16:0_16:0_18:1),0.463272,2.42612e-09
CTL,individual,SORBI_3001G220300,TG(16:0_16:0_20:1),0.463272,1.102206e-09
CTL,individual,SORBI_3001G220300,TG(16:0_18:0_18:2),0.463272,4.207002e-09
CTL,individual,SORBI_3001G220300,TG(16:0_18:1_18:1),0.463272,2.037244e-09
CTL,individual,SORBI_3001G220300,TG(16:0_18:1_20:1),0.463272,5.547899e-09
CTL,individual,SORBI_3001G220300,TG(18:0_18:2_18:2),0.45011,5.692983e-09
CTL,individual,SORBI_3001G220900,TG(16:0_16:0_18:1),0.455934,2.42612e-09
CTL,individual,SORBI_3001G220900,TG(16:0_16:0_20:1),0.455934,1.102206e-09
CTL,individual,SORBI_3001G220900,TG(16:0_18:0_18:2),0.455934,4.207002e-09
CTL,individual,SORBI_3001G220900,TG(16:0_18:1_18:1),0.455934,2.037244e-09
CTL,individual,SORBI_3001G220900,TG(16:0_18:1_20:1),0.455934,5.547899e-09
CTL,individual,SORBI_3001G220900,TG(18:0_18:2_18:2),0.44296,5.692983e-09
CTL,individual,SORBI_3001G221300,TG(16:0_16:0_18:1),0.742031,2.42612e-09
CTL,individual,SORBI_3001G221300,TG(16:0_16:0_20:1),0.742031,1.102206e-09
CTL,individual,SORBI_3001G221300,TG(16:0_18:0_18:2),0.742031,4.207002e-09
CTL,individual,SORBI_3001G221300,TG(16:0_18:1_18:1),0.742031,2.037244e-09
CTL,individual,SORBI_3001G221300,TG(16:0_18:1_20:1),0.742031,5.547899e-09
CTL,individual,SORBI_3001G221300,TG(18:0_18:2_18:2),0.742031,5.692983e-09
CTL,individual,SORBI_3001G221350,TG(16:0_16:0_18:1),0.730184,2.42612e-09
CTL,individual,SORBI_3001G221350,TG(16:0_16:0_20:1),0.730184,1.102206e-09
CTL,individual,SORBI_3001G221350,TG(16:0_18:0_18:2),0.730184,4.207002e-09
CTL,individual,SORBI_3001G221350,TG(16:0_18:1_18:1),0.730184,2.037244e-09
CTL,individual,SORBI_3001G221350,TG(16:0_18:1_20:1),0.730184,5.547899e-09
CTL,individual,SORBI_3001G221350,TG(18:0_18:2_18:2),0.730184,5.692983e-09
CTL,individual,SORBI_3001G221400,TG(16:0_16:0_18:1),0.72498,2.42612e-09
CTL,individual,SORBI_3001G221400,TG(16:0_16:0_20:1),0.72498,1.102206e-09
CTL,individual,SORBI_3001G221400,TG(16:0_18:0_18:2),0.72498,4.207002e-09
CTL,individual,SORBI_3001G221400,TG(16:0_18:1_18:1),0.72498,2.037244e-09
CTL,individual,SORBI_3001G221400,TG(16:0_18:1_20:1),0.72498,5.547899e-09
CTL,individual,SORBI_3001G221400,TG(18:0_18:2_18:2),0.72498,5.692983e-09
CTL,individual,SORBI_3001G221500,TG(16:0_16:0_18:1),0.716362,2.42612e-09
CTL,individual,SORBI_3001G221500,TG(16:0_16:0_20:1),0.716362,1.102206e-09
CTL,individual,SORBI_3001G221500,TG(16:0_18:0_18:2),0.716362,4.207002e-09
CTL,individual,SORBI_3001G221500,TG(16:0_18:1_18:1),0.716362,2.037244e-09
CTL,individual,SORBI_3001G221500,TG(16:0_18:1_20:1),0.716362,5.547899e-09
CTL,individual,SORBI_3001G221500,TG(18:0_18:2_18:2),0.716362,5.692983e-09
CTL,individual,SORBI_3001G221601,TG(16:0_16:0_18:1),0.524475,2.42612e-09
CTL,individual,SORBI_3001G221601,TG(16:0_16:0_20:1),0.524475,1.102206e-09
CTL,individual,SORBI_3001G221601,TG(16:0_18:0_18:2),0.524475,4.207002e-09
CTL,individual,SORBI_3001G221601,TG(16:0_18:1_18:1),0.524475,2.037244e-09
CTL,individual,SORBI_3001G221601,TG(16:0_18:1_20:1),0.524475,5.547899e-09
CTL,individual,SORBI_3001G221601,TG(18:0_18:2_18:2),0.524475,5.692983e-09
CTL,individual,SORBI_3001G221700,TG(16:0_16:0_18:1),0.687425,2.42612e-09
CTL,individual,SORBI_3001G221700,TG(16:0_16:0_20:1),0.687425,1.102206e-09
CTL,individual,SORBI_3001G221700,TG(16:0_18:0_18:2),0.687425,4.207002e-09
CTL,individual,SORBI_3001G221700,TG(16:0_18:1_18:1),0.687425,2.037244e-09
CTL,individual,SORBI_3001G221700,TG(16:0_18:1_20:1),0.687425,5.547899e-09
CTL,individual,SORBI_3001G221700,TG(18:0_18:2_18:2),0.687425,5.692983e-09
CTL,individual,SORBI_3001G221750,TG(16:0_16:0_18:1),0.586648,2.42612e-09
CTL,individual,SORBI_3001G221750,TG(16:0_16:0_20:1),0.586648,1.102206e-09
CTL,individual,SORBI_3001G221750,TG(16:0_18:0_18:2),0.586648,4.207002e-09
CTL,individual,SORBI_3001G221750,TG(16:0_18:1_18:1),0.586648,2.037244e-09
CTL,individual,SORBI_3001G221750,TG(16:0_18:1_20:1),0.586648,5.547899e-09
CTL,individual,SORBI_3001G221750,TG(18:0_18:2_18:2),0.586648,5.692983e-09
CTL,individual,SORBI_3001G221850,TG(16:0_16:0_18:1),0.629902,2.42612e-09
CTL,individual,SORBI_3001G221850,TG(16:0_16:0_20:1),0.629902,1.102206e-09
CTL,individual,SORBI_3001G221850,TG(16:0_18:0_18:2),0.629902,4.207002e-09
CTL,individual,SORBI_3001G221850,TG(16:0_18:1_18:1),0.629902,2.037244e-09
CTL,individual,SORBI_3001G221850,TG(16:0_18:1_20:1),0.629902,5.547899e-09
CTL,individual,SORBI_3001G221850,TG(18:0_18:2_18:2),0.629902,5.692983e-09
CTL,individual,SORBI_3001G221900,TG(16:0_16:0_18:1),0.445086,2.42612e-09
CTL,individual,SORBI_3001G221900,TG(16:0_16:0_20:1),0.445086,1.102206e-09
CTL,individual,SORBI_3001G221900,TG(16:0_18:0_18:2),0.445086,4.207002e-09
CTL,individual,SORBI_3001G221900,TG(16:0_18:1_18:1),0.445086,2.037244e-09
CTL,individual,SORBI_3001G221900,TG(16:0_18:1_20:1),0.445086,5.547899e-09
CTL,individual,SORBI_3001G221900,TG(18:0_18:2_18:2),0.445086,5.692983e-09
CTL,individual,SORBI_3001G222000,TG(16:0_16:0_18:1),0.403611,1.17199e-09
CTL,individual,SORBI_3001G222000,TG(16:0_16:0_20:1),0.468939,1.51367e-09
CTL,individual,SORBI_3001G222000,TG(16:0_18:0_18:2),0.403611,2.849822e-09
CTL,individual,SORBI_3001G222000,TG(16:0_18:1_18:1),0.510455,2.62072e-09
CTL,individual,SORBI_3001G222000,TG(16:0_18:1_18:2),0.424557,7.079967e-11
CTL,individual,SORBI_3001G222000,TG(16:1_18:1_18:1),0.424557,2.406744e-10
CTL,individual,SORBI_3001G222000,TG(18:0_18:2_18:2),0.468939,1.357913e-09
CTL,individual,SORBI_3001G222000,TG(18:1_18:2_18:2),0.468939,4.153252e-09
CTL,individual,SORBI_3001G222200,TG(16:0_16:0_18:1),0.403611,1.17199e-09
CTL,individual,SORBI_3001G222200,TG(16:0_16:0_20:1),0.403611,1.51367e-09
CTL,individual,SORBI_3001G222200,TG(16:0_18:0_18:2),0.403611,2.849822e-09
CTL,individual,SORBI_3001G222200,TG(16:0_18:1_18:1),0.428893,5.542548e-09
CTL,individual,SORBI_3001G222200,TG(16:0_18:1_18:2),0.403611,7.079967e-11
CTL,individual,SORBI_3001G222200,TG(16:1_18:1_18:1),0.403611,2.406744e-10
CTL,individual,SORBI_3001G222200,TG(18:0_18:2_18:2),0.403611,1.357913e-09
CTL,individual,SORBI_3001G222200,TG(18:1_18:2_18:2),0.403611,4.153252e-09
CTL,individual,SORBI_3001G222300,TG(16:0_18:1_18:1),0.420606,8.159749e-09
CTL,individual,SORBI_3001G222300,TG(18:1_18:2_18:2),0.415265,7.838417e-09
CTL,individual,SORBI_3001G222400,TG(16:0_16:0_18:1),0.403611,1.17199e-09
CTL,individual,SORBI_3001G222400,TG(16:0_16:0_20:1),0.403611,1.51367e-09
CTL,individual,SORBI_3001G222400,TG(16:0_18:0_18:2),0.403611,2.849822e-09
CTL,individual,SORBI_3001G222400,TG(16:0_18:1_18:1),0.428893,5.542548e-09
CTL,individual,SORBI_3001G222400,TG(16:0_18:1_18:2),0.403611,7.079967e-11
CTL,individual,SORBI_3001G222400,TG(16:1_18:1_18:1),0.403611,2.406744e-10
CTL,individual,SORBI_3001G222400,TG(18:0_18:2_18:2),0.403611,1.357913e-09
CTL,individual,SORBI_3001G222400,TG(18:1_18:2_18:2),0.423448,4.153252e-09
CTL,individual,SORBI_3001G222500,TG(16:0_16:0_20:1),0.408729,7.762893e-10
CTL,individual,SORBI_3001G222500,TG(16:0_18:1_18:1),0.408729,1.993308e-09
CTL,individual,SORBI_3001G222500,TG(16:0_18:1_20:0),0.408729,5.409996e-09
CTL,individual,SORBI_3001G222500,TG(16:0_18:1_20:1),0.408729,4.913498e-09
CTL,individual,SORBI_3001G222500,TG(16:1_18:1_18:1),0.408729,7.426841e-09
CTL,individual,SORBI_3001G222500,TG(18:0_18:2_18:2),0.408729,9.308711e-10
CTL,individual,SORBI_3001G222500,TG(18:1_18:2_18:2),0.411091,4.56113e-09
CTL,individual,SORBI_3001G222600,TG(16:0_16:0_18:1),0.403611,1.17199e-09
CTL,individual,SORBI_3001G222600,TG(16:0_16:0_20:1),0.403611,1.51367e-09
CTL,individual,SORBI_3001G222600,TG(16:0_18:0_18:2),0.403611,2.849822e-09
CTL,individual,SORBI_3001G222600,TG(16:0_18:1_18:1),0.428893,5.542548e-09
CTL,individual,SORBI_3001G222600,TG(16:0_18:1_18:2),0.403611,7.079967e-11
CTL,individual,SORBI_3001G222600,TG(16:1_18:1_18:1),0.403611,2.406744e-10
CTL,individual,SORBI_3001G222600,TG(18:0_18:2_18:2),0.403611,1.357913e-09
CTL,individual,SORBI_3001G222600,TG(18:1_18:2_18:2),0.423448,4.153252e-09
CTL,individual,SORBI_3001G222700,TG(16:0_16:0_18:1),0.413035,1.17199e-09
CTL,individual,SORBI_3001G222700,TG(16:0_16:0_20:1),0.413035,1.51367e-09
CTL,individual,SORBI_3001G222700,TG(16:0_18:0_18:2),0.413035,2.849822e-09
CTL,individual,SORBI_3001G222700,TG(16:0_18:1_18:1),0.49241,5.542548e-09
CTL,individual,SORBI_3001G222700,TG(16:0_18:1_18:2),0.413035,7.079967e-11
CTL,individual,SORBI_3001G222700,TG(16:1_18:1_18:1),0.413035,2.406744e-10
CTL,individual,SORBI_3001G222700,TG(18:0_18:2_18:2),0.413035,1.357913e-09
CTL,individual,SORBI_3001G222700,TG(18:1_18:2_18:2),0.43155,4.153252e-09
CTL,individual,SORBI_3001G222800,TG(16:0_16:0_18:1),0.436202,1.17199e-09
CTL,individual,SORBI_3001G222800,TG(16:0_16:0_20:1),0.481254,1.811671e-10
CTL,individual,SORBI_3001G222800,TG(16:0_18:0_18:2),0.436202,2.726615e-09
CTL,individual,SORBI_3001G222800,TG(16:0_18:1_18:1),0.534923,5.926186e-10
CTL,individual,SORBI_3001G222800,TG(16:0_18:1_18:2),0.443468,7.079967e-11
CTL,individual,SORBI_3001G222800,TG(16:0_18:1_20:0),0.449232,3.182524e-09
CTL,individual,SORBI_3001G222800,TG(16:0_18:1_20:1),0.449232,2.441501e-09
CTL,individual,SORBI_3001G222800,TG(16:1_18:1_18:1),0.473128,2.406744e-10
CTL,individual,SORBI_3001G222800,TG(18:0_18:2_18:2),0.481254,6.298777e-10
CTL,individual,SORBI_3001G222800,TG(18:1_18:2_18:2),0.526573,1.624745e-09
CTL,individual,SORBI_3001G222900,TG(16:0_16:0_18:1),0.532505,1.17199e-09
CTL,individual,SORBI_3001G222900,TG(16:0_16:0_20:1),0.573399,1.811671e-10
CTL,individual,SORBI_3001G222900,TG(16:0_18:0_18:2),0.532505,2.726615e-09
CTL,individual,SORBI_3001G222900,TG(16:0_18:1_18:1),0.637211,5.926186e-10
CTL,individual,SORBI_3001G222900,TG(16:0_18:1_18:2),0.529379,7.079967e-11
CTL,individual,SORBI_3001G222900,TG(16:0_18:1_20:0),0.532505,3.182524e-09
CTL,individual,SORBI_3001G222900,TG(16:0_18:1_20:1),0.532505,2.441501e-09
CTL,individual,SORBI_3001G222900,TG(16:1_18:1_18:1),0.564212,2.406744e-10
CTL,individual,SORBI_3001G222900,TG(18:0_18:2_18:2),0.573399,6.298777e-10
CTL,individual,SORBI_3001G222900,TG(18:1_18:2_18:2),0.627305,1.624745e-09
CTL,individual,SORBI_3001G223000,TG(16:0_18:1_18:1),0.468403,8.159749e-09
CTL,individual,SORBI_3001G223000,TG(18:1_18:2_18:2),0.410262,7.838417e-09
CTL,individual,SORBI_3001G223100,TG(16:0_16:0_18:1),0.554623,1.17199e-09
CTL,individual,SORBI_3001G223100,TG(16:0_16:0_20:1),0.671916,1.811671e-10
CTL,individual,SORBI_3001G223100,TG(16:0_18:0_18:2),0.554623,2.726615e-09
CTL,individual,SORBI_3001G223100,TG(16:0_18:1_18:1),0.789685,5.926186e-10
CTL,individual,SORBI_3001G223100,TG(16:0_18:1_18:2),0.621222,7.079967e-11
CTL,individual,SORBI_3001G223100,TG(16:0_18:1_20:0),0.440799,3.182524e-09
CTL,individual,SORBI_3001G223100,TG(16:0_18:1_20:1),0.54426,2.441501e-09
CTL,individual,SORBI_3001G223100,TG(16:1_18:1_18:1),0.661592,2.406744e-10
CTL,individual,SORBI_3001G223100,TG(18:0_18:2_18:2),0.671916,6.298777e-10
CTL,individual,SORBI_3001G223100,TG(18:1_18:2_18:2),0.671916,1.624745e-09
CTL,individual,SORBI_3001G223200,TG(16:0_16:0_18:1),0.870887,1.17199e-09
CTL,individual,SORBI_3001G223200,TG(16:0_16:0_20:1),0.870887,1.811671e-10
CTL,individual,SORBI_3001G223200,TG(16:0_18:0_18:2),0.870887,2.726615e-09
CTL,individual,SORBI_3001G223200,TG(16:0_18:1_18:1),0.870887,5.926186e-10
CTL,individual,SORBI_3001G223200,TG(16:0_18:1_18:2),0.774645,7.079967e-11
CTL,individual,SORBI_3001G223200,TG(16:0_18:1_20:0),0.870887,3.182524e-09
CTL,individual,SORBI_3001G223200,TG(16:0_18:1_20:1),0.870887,2.441501e-09
CTL,individual,SORBI_3001G223200,TG(16:1_18:1_18:1),0.870887,2.406744e-10
CTL,individual,SORBI_3001G223200,TG(18:0_18:2_18:2),0.870887,6.298777e-10
CTL,individual,SORBI_3001G223200,TG(18:1_18:2_18:2),0.936153,1.624745e-09
CTL,individual,SORBI_3001G223300,TG(16:0_16:0_18:1),0.9208,1.17199e-09
CTL,individual,SORBI_3001G223300,TG(16:0_16:0_20:1),1,1.811671e-10
CTL,individual,SORBI_3001G223300,TG(16:0_18:0_18:2),0.9208,2.726615e-09
CTL,individual,SORBI_3001G223300,TG(16:0_18:1_18:1),1,5.926186e-10
CTL,individual,SORBI_3001G223300,TG(16:0_18:1_18:2),0.763272,7.079967e-11
