GeneID	GeneName	Flag	Conditions	Ontologies	Classes	Max_recurrence	Best_GWAS_p	Max_r2	Max_fold	Max_intervals	Specific	N_terms	Chr	Start	Family	Terms
SORBI_3007G041500	DAGKc domain-containing protein	LIPID enzyme/transport	LIN	BP	AEG	3	7.231734e-10	0.661	32.5	3	yes	1	7	4070727	OS08G0152700 PROTEIN (PTHR12358:SF37)	LIN:AEG:sphingolipid metabolic process
SORBI_3010G124500	B-keto acyl reductase	LIPID enzyme/transport	LIN	MF	SQDG	1	5.991652e-11	0.707	32.3	2	single locus	1	10	15123090	OS06G0300200 PROTEIN (PTHR43899:SF38)	LIN:SQDG:ketoreductase activity
SORBI_3010G124600	B-keto acyl reductase	LIPID enzyme/transport	LIN	MF	SQDG	1	5.991652e-11	0.757	32.3	2	single locus	1	10	15180338	OS06G0299200 PROTEIN (PTHR43899:SF17)	LIN:SQDG:ketoreductase activity
SORBI_3010G124900	B-keto acyl reductase	LIPID enzyme/transport	LIN	MF	SQDG	1	5.991652e-11	0.728	32.3	2	single locus	1	10	15275988	OS04G0116600 PROTEIN (PTHR43899:SF21)	LIN:SQDG:ketoreductase activity
SORBI_3003G394100	ceramide glucosyltransferase	LIPID enzyme/transport	LIN	BP	AEG	1	1.080235e-09	0.646	32.5	3	yes	1	3	70491179	CERAMIDE GLUCOSYLTRANSFERASE (PTHR12726:SF0)	LIN:AEG:sphingolipid metabolic process
SORBI_3004G006400	Cytochrome P450	metabolic enzyme	LIN	MF	PA	20	2.605726e-21	1.0	7.1	4	yes	1	4	540868	CYTOCHROME P450 89A2 (PTHR24298:SF892)	LIN:PA:iron ion binding
SORBI_3004G008900	aldehyde oxygenase (deformylating)	metabolic enzyme	LIN	MF	PA	20	2.605726e-21	0.81	7.1	4	yes	1	4	769869	ALDEHYDE OXYGENASE (DEFORMYLATING) (PTHR11863:SF152)	LIN:PA:iron ion binding
SORBI_3001G012000	4-hydroxyphenylacetaldehyde oxime monooxygenase	metabolic enzyme	LIN	MF	PA	13	4.240237e-13	1.0	7.1	4	yes	1	1	1031520	CYTOCHROME P450 71B10 (PTHR47956:SF80)	LIN:PA:iron ion binding
SORBI_3005G152200	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	BP/MF	TG	10	9.674947e-13	0.416	18.2	6	yes	5	5	62304454	TYROSINE AMINOTRANSFERASE (PTHR45744:SF11)	CTL:TG:L-tyrosine catabolic process; CTL:TG:L-tyrosine-2-oxoglutarate transaminase activity; CTL:TG:nicotianamine aminotransferase activity; CTL:TG:pyridoxal phosphate binding; CTL:TG:transaminase activity
SORBI_3002G041100	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	BP/MF	TG	10	7.587135e-12	0.922	18.2	6	yes	5	2	3955784	NICOTIANAMINE AMINOTRANSFERASE 1 (PTHR45744:SF5)	CTL:TG:L-tyrosine catabolic process; CTL:TG:L-tyrosine-2-oxoglutarate transaminase activity; CTL:TG:nicotianamine aminotransferase activity; CTL:TG:pyridoxal phosphate binding; CTL:TG:transaminase activity
SORBI_3002G041200	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	BP/MF	TG	10	7.587135e-12	1.0	18.2	6	yes	5	2	3970369	NICOTIANAMINE AMINOTRANSFERASE 1 (PTHR45744:SF5)	CTL:TG:L-tyrosine catabolic process; CTL:TG:L-tyrosine-2-oxoglutarate transaminase activity; CTL:TG:nicotianamine aminotransferase activity; CTL:TG:pyridoxal phosphate binding; CTL:TG:transaminase activity
SORBI_3001G357300	Cystathionine gamma-synthase	metabolic enzyme	CTL	MF	TG	9	1.182781e-12	0.863	3.6	6	yes	1	1	64717133	CYSTATHIONINE GAMMA-SYNTHASE 1, CHLOROPLASTIC (PTHR43379:SF6)	CTL:TG:pyridoxal phosphate binding
SORBI_3006G278600	Fe2OG dioxygenase domain-containing protein	metabolic enzyme	CTL	MF	TG	8	1.240061e-10	0.688	2.2	23	yes	1	6	60914403	2-OXOGLUTARATE AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN (PTHR31447:SF23)	CTL:TG:mRNA binding
SORBI_3004G044800	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP	FA	5	1.598385e-11	1.0	8.6	1	single locus	2	4	3688626	OS02G0154200 PROTEIN (PTHR48005:SF81)	LIN:FA:detection of stimulus
SORBI_3006G243400	D-3-phosphoglycerate dehydrogenase	metabolic enzyme	LIN	MF	PC	3	1.258093e-13	1.0	9.3	4	yes	1	6	58360791	D-3-PHOSPHOGLYCERATE DEHYDROGENASE 3, CHLOROPLASTIC (PTHR42938:SF5)	LIN:PC:phosphoglycerate dehydrogenase activity
SORBI_3010G214100	D-3-phosphoglycerate dehydrogenase	metabolic enzyme	LIN	MF	PC	2	7.344024e-14	0.588	9.3	4	yes	1	10	55704057	D-3-PHOSPHOGLYCERATE DEHYDROGENASE 2, CHLOROPLASTIC (PTHR42938:SF46)	LIN:PC:phosphoglycerate dehydrogenase activity
SORBI_3010G116800	DNA topoisomerase type IA central domain-containing protein	metabolic enzyme	LIN	BP	SQDG	2	1.459576e-11	0.489	33.4	3	yes	1	10	12802389		LIN:SQDG:DNA topological change
SORBI_3010G143500	Pyruvate phosphate dikinase AMP_ATP-binding domain-containing protein	metabolic enzyme	CTL/LIN	MF	SQDG/TG	2	2.276651e-10	0.975	2.2	23	yes	2	10	38070890	ALPHA-GLUCAN WATER DIKINASE 1, CHLOROPLASTIC (PTHR46999:SF1)	CTL:TG:mRNA binding; LIN:SQDG:mRNA binding
SORBI_3008G016900	glutamine--fructose-6-phosphate transaminase (isomerizing)	metabolic enzyme	CTL	MF	TG	2	1.605798e-09	1.0	4.7	4	yes	1	8	1387157	GLUTAMINE--FRUCTOSE-6-PHOSPHATE TRANSAMINASE (ISOMERIZING) (PTHR10937:SF0)	CTL:TG:transaminase activity
SORBI_3010G126800	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP/MF	SQDG	1	5.483313e-12	0.595	6.2	2	single locus	3	10	16040372	LECTIN-LIKE RECEPTOR PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR27007:SF159)	LIN:SQDG:cell surface receptor protein serine/threonine kinase signaling pathway; LIN:SQDG:defense response to oomycetes; LIN:SQDG:transmembrane receptor protein serine/threonine kinase activity
SORBI_3010G124700	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP/MF	SQDG	1	5.991652e-11	0.688	11.1	2	single locus	4	10	15183268	OS07G0130200 PROTEIN (PTHR27007:SF156)	LIN:SQDG:cell surface receptor protein serine/threonine kinase signaling pathway; LIN:SQDG:defense response to oomycetes; LIN:SQDG:negative regulation of response to salt stress; LIN:SQDG:transmembrane receptor protein serine/threonine kinase activity
