Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Class sums and ratios	LIN	FA	rRNA processing	GO:0006364	2	77	2	2.3	0.324	0.166	SORBI_3001G104300;SORBI_3004G061800
BP	Class sums and ratios	LIN	FA	negative regulation of DNA-templated transcription	GO:0045892	2	85	2	2.08	0.344	0.176	SORBI_3003G086600;SORBI_3004G341700
BP	Class sums and ratios	LIN	FA	positive regulation of transcription by RNA polymerase II	GO:0045944	2	113	2	1.57	0.457	0.227	SORBI_3003G406800;SORBI_3004G009600
BP	Class sums and ratios	LIN	FA	response to auxin	GO:0009733	2	116	2	1.53	0.457	0.253	SORBI_3001G489500;SORBI_3003G409000
BP	Class sums and ratios	LIN	FA	lipid metabolic process	GO:0006629	3	249	3	1.07	0.606	0.304	SORBI_3003G389400;SORBI_3004G341900;SORBI_3006G186800
BP	Class sums and ratios	LIN	FA	DNA repair	GO:0006281	2	151	2	1.17	0.587	0.354	SORBI_3004G007133;SORBI_3006G195500
BP	Class sums and ratios	LIN	FA	ubiquitin-dependent protein catabolic process	GO:0006511	2	168	2	1.05	0.632	0.354	SORBI_3004G066800;SORBI_3006G187100
BP	Class sums and ratios	LIN	FA	regulation of transcription by RNA polymerase II	GO:0006357	4	442	4	0.8	0.784	0.396	SORBI_3001G102300;SORBI_3003G407200;SORBI_3004G006600;SORBI_3010G215300
BP	Class sums and ratios	LIN	FA	translation	GO:0006412	3	309	3	0.86	0.746	0.435	SORBI_3001G031800;SORBI_3001G100400;SORBI_3001G493001
BP	Class sums and ratios	LIN	FA	protein ubiquitination	GO:0016567	3	476	3	0.56	0.935	0.625	SORBI_3003G388000;SORBI_3004G005000;SORBI_3006G192400
BP	Class sums and ratios	LIN	FA	regulation of DNA-templated transcription	GO:0006355	9	1464	9	0.54	0.987	0.726	SORBI_3001G030800;SORBI_3001G102300;SORBI_3003G087600;SORBI_3004G009600;SORBI_3004G027800;SORBI_3006G184700;SORBI_3006G190800;SORBI_3006G194300;SORBI_3010G215100
BP	Class sums and ratios	LIN	GalCer	cellular response to phosphate starvation	GO:0016036	2	21	1	50.58	0.00257	0.00494	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	GalCer	lipid biosynthetic process	GO:0008610	3	60	1	26.55	0.00182	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	GalCer	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	2.4	0.317	0.131	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	LPC	regulation of DNA-templated transcription	GO:0006355	2	1464	1	5.51	0.0824	0.055	SORBI_3003G324400;SORBI_3003G324500
BP	Class sums and ratios	LIN	MG	cellular response to phosphate starvation	GO:0016036	2	21	1	45.76	0.0026	0.00494	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	MG	lipid biosynthetic process	GO:0008610	3	60	1	24.02	0.00182	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	MG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	2.17	0.33	0.131	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	MGDG	lipid biosynthetic process	GO:0008610	3	60	1	20.59	0.00217	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	MGDG	cellular response to phosphate starvation	GO:0016036	2	21	1	39.22	0.00338	0.00624	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	MGDG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	1.86	0.387	0.164	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	MGDG	regulation of DNA-templated transcription	GO:0006355	2	1464	2	0.56	0.92	0.625	SORBI_3003G087600;SORBI_3006G184700
BP	Class sums and ratios	LIN	PA	lipid biosynthetic process	GO:0008610	3	60	1	50.45	0.000474	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	PC	lipid biosynthetic process	GO:0008610	3	60	1	59.35	0.000474	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	PE	cellular response to phosphate starvation	GO:0016036	2	21	1	64.06	0.00217	0.00494	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	PE	lipid biosynthetic process	GO:0008610	3	60	1	33.63	0.00132	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	PG	lipid biosynthetic process	GO:0008610	3	60	1	20.18	0.00217	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	PG	cellular response to phosphate starvation	GO:0016036	2	21	1	38.44	0.00338	0.00624	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	PG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	1.83	0.39	0.17	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	PG	regulation of DNA-templated transcription	GO:0006355	4	1464	3	1.1	0.58	0.251	SORBI_3003G087600;SORBI_3003G324400;SORBI_3003G324500;SORBI_3006G184700
BP	Class sums and ratios	LIN	SQDG	cellular response to phosphate starvation	GO:0016036	3	21	2	51.48	0.000474	0.00494	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	SQDG	lipid biosynthetic process	GO:0008610	3	60	1	18.02	0.00251	0.00563	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	SQDG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	1.63	0.445	0.199	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	SQDG	transmembrane transport	GO:0055085	3	865	3	1.25	0.515	0.212	SORBI_3001G028400;SORBI_3003G086300;SORBI_3006G184400
BP	Class sums and ratios	LIN	SQDG	carbohydrate metabolic process	GO:0005975	2	466	2	1.55	0.457	0.226	SORBI_3001G026800;SORBI_3004G004800
BP	Class sums and ratios	LIN	SQDG	regulation of DNA-templated transcription	GO:0006355	2	1464	2	0.49	0.935	0.726	SORBI_3003G087600;SORBI_3006G184700
BP	Class sums and ratios	LIN	TG	lipid biosynthetic process	GO:0008610	3	60	1	59.35	0.000474	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Individual lipid species	CTL	PA	hydrogen peroxide catabolic process	GO:0042744	3	144	1	19.11	0.0077	0.0222	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	response to oxidative stress	GO:0006979	3	178	1	15.46	0.0119	0.0225	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	cellular oxidant detoxification	GO:0098869	3	202	1	13.62	0.012	0.0231	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	proteolysis	GO:0006508	2	474	1	3.87	0.208	0.0798	SORBI_3005G186700;SORBI_3005G186800
BP	Individual lipid species	CTL	PA	regulation of DNA-templated transcription	GO:0006355	3	1464	2	1.88	0.332	0.122	SORBI_3003G368300;SORBI_3005G013500;SORBI_3005G013600
BP	Individual lipid species	CTL	PC	proteolysis	GO:0006508	6	474	3	9.46	0.00096	0.00364	SORBI_3001G248200;SORBI_3001G248300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600
BP	Individual lipid species	CTL	PC	positive regulation of transcription by RNA polymerase II	GO:0045944	2	113	2	13.23	0.0456	0.018	SORBI_3001G248100;SORBI_3008G103500
BP	Individual lipid species	CTL	PC	negative regulation of response to salt stress	GO:1901001	2	25	1	59.79	0.0077	0.0307	SORBI_3010G126900;SORBI_3010G127300
BP	Individual lipid species	CTL	PC	regulation of DNA-templated transcription	GO:0006355	4	1464	4	2.04	0.241	0.0467	SORBI_3003G252200;SORBI_3008G095200;SORBI_3008G103500;SORBI_3009G140700
BP	Individual lipid species	CTL	PC	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	3.38	0.238	0.0798	SORBI_3003G252200;SORBI_3008G103500
BP	Individual lipid species	CTL	PC	positive regulation of cytoplasmic translation	GO:2000767	2	213	2	7.02	0.0876	0.0857	SORBI_3008G103132;SORBI_3010G127550
BP	Individual lipid species	CTL	PC	carbohydrate metabolic process	GO:0005975	2	466	2	3.21	0.241	0.0963	SORBI_3001G247900;SORBI_3009G069800
BP	Individual lipid species	CTL	TG	formation of cytoplasmic translation initiation complex	GO:0001732	4	21	6	8.18	0.012	0.00394	SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400
BP	Individual lipid species	CTL	TG	positive regulation of cytoplasmic translation	GO:2000767	20	213	20	4.03	1.29e-05	0.00394	SORBI_3001G221850;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
BP	Individual lipid species	CTL	TG	positive regulation of defense response	GO:0031349	4	20	4	8.59	0.0119	0.00637	SORBI_3003G069950;SORBI_3006G039800;SORBI_3010G143600;SORBI_3010G194600
BP	Individual lipid species	CTL	TG	cutin biosynthetic process	GO:0010143	2	3	2	28.62	0.0121	0.00837	SORBI_3001G222700;SORBI_3003G360700
BP	Individual lipid species	CTL	TG	phospholipid metabolic process	GO:0006644	3	16	3	8.05	0.03	0.00897	SORBI_3003G078700;SORBI_3005G145100;SORBI_3010G193300
BP	Individual lipid species	CTL	TG	iron-sulfur cluster assembly	GO:0016226	4	30	4	5.72	0.0294	0.00897	SORBI_3002G092300;SORBI_3004G205000;SORBI_3009G050500;SORBI_3010G140600
BP	Individual lipid species	CTL	TG	glutathione metabolic process	GO:0006749	10	85	2	5.05	0.00096	0.0092	SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318600;SORBI_3001G318700;SORBI_3001G319000;SORBI_3001G319300;SORBI_3001G319500;SORBI_3003G426300;SORBI_3003G426500;SORBI_3003G426600
BP	Individual lipid species	CTL	TG	translation	GO:0006412	11	309	11	1.53	0.23	0.0092	SORBI_3001G221500;SORBI_3002G148166;SORBI_3002G244600;SORBI_3002G364301;SORBI_3003G205400;SORBI_3004G103700;SORBI_3007G071300;SORBI_3007G110500;SORBI_3009G050300;SORBI_3009G237200;SORBI_3010G150575
BP	Individual lipid species	CTL	TG	polyamine transmembrane transport	GO:1902047	3	7	1	18.4	0.0077	0.0121	SORBI_3001G357500;SORBI_3001G357700;SORBI_3001G357800
BP	Individual lipid species	CTL	TG	transmembrane transport	GO:0055085	24	865	17	1.19	0.333	0.0136	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3001G496800;SORBI_3002G245300;SORBI_3002G322800;SORBI_3003G422800;SORBI_3005G125400;SORBI_3005G183900;SORBI_3006G130700;SORBI_3006G277100;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3008G132300;SORBI_3008G132500;SORBI_3008G132800;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900;SORBI_3010G146100
BP	Individual lipid species	CTL	TG	fatty acid metabolic process	GO:0006631	4	37	4	4.64	0.0456	0.0167	SORBI_3006G048700;SORBI_3007G071600;SORBI_3008G005600;SORBI_3009G111400
BP	Individual lipid species	CTL	TG	cytoplasmic translational initiation	GO:0002183	3	25	3	5.15	0.0718	0.019	SORBI_3002G044000;SORBI_3006G044600;SORBI_3009G234400
BP	Individual lipid species	CTL	TG	phospholipid dephosphorylation	GO:0046839	2	9	2	9.54	0.067	0.0203	SORBI_3003G078700;SORBI_3010G193300
BP	Individual lipid species	CTL	TG	protein targeting to chloroplast	GO:0045036	2	7	2	12.27	0.0456	0.0222	SORBI_3001G023400;SORBI_3001G305900
BP	Individual lipid species	CTL	TG	translational initiation	GO:0006413	4	48	6	3.58	0.0784	0.0222	SORBI_3001G259000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400
BP	Individual lipid species	CTL	TG	sulfur compound metabolic process	GO:0006790	2	4	1	21.47	0.022	0.0231	SORBI_3008G062300;SORBI_3008G062400
BP	Individual lipid species	CTL	TG	UMP biosynthetic process	GO:0006222	2	3	1	28.62	0.0121	0.0231	SORBI_3003G427200;SORBI_3003G427300
BP	Individual lipid species	CTL	TG	pollen tube development	GO:0048868	2	11	2	7.81	0.0784	0.0253	SORBI_3001G022700;SORBI_3007G090600
BP	Individual lipid species	CTL	TG	plant-type secondary cell wall biogenesis	GO:0009834	2	11	2	7.81	0.0784	0.027	SORBI_3001G021500;SORBI_3001G224300
BP	Individual lipid species	CTL	TG	'de novo' UMP biosynthetic process	GO:0044205	2	7	1	12.27	0.0456	0.0298	SORBI_3003G427200;SORBI_3003G427300
BP	Individual lipid species	CTL	TG	pyrimidine nucleobase biosynthetic process	GO:0019856	2	10	1	8.59	0.0753	0.0307	SORBI_3003G427200;SORBI_3003G427300
BP	Individual lipid species	CTL	TG	vesicle docking involved in exocytosis	GO:0006904	2	5	2	17.17	0.0294	0.0311	SORBI_3004G136300;SORBI_3006G046700
BP	Individual lipid species	CTL	TG	'de novo' pyrimidine nucleobase biosynthetic process	GO:0006207	2	12	1	7.16	0.0844	0.0345	SORBI_3003G427200;SORBI_3003G427300
BP	Individual lipid species	CTL	TG	replication-born double-strand break repair via sister chromatid exchange	GO:1990414	2	5	1	17.17	0.0294	0.0364	SORBI_3007G096900;SORBI_3007G097000
BP	Individual lipid species	CTL	TG	sister chromatid cohesion	GO:0007062	2	8	1	10.73	0.0571	0.04	SORBI_3007G096900;SORBI_3007G097000
BP	Individual lipid species	CTL	TG	sulfate assimilation	GO:0000103	2	12	1	7.16	0.0844	0.04	SORBI_3008G062300;SORBI_3008G062400
BP	Individual lipid species	CTL	TG	intracellular protein transport	GO:0006886	6	142	6	1.81	0.238	0.04	SORBI_3001G023000;SORBI_3002G043300;SORBI_3005G114800;SORBI_3006G046700;SORBI_3006G050000;SORBI_3006G280000
BP	Individual lipid species	CTL	TG	pyrimidine nucleotide biosynthetic process	GO:0006221	2	16	1	5.37	0.132	0.0428	SORBI_3003G427200;SORBI_3003G427300
BP	Individual lipid species	CTL	TG	auxin metabolic process	GO:0009850	2	11	1	7.81	0.0784	0.0455	SORBI_3001G021900;SORBI_3001G022000
BP	Individual lipid species	CTL	TG	tRNA aminoacylation for protein translation	GO:0006418	3	47	3	2.74	0.208	0.0467	SORBI_3001G022500;SORBI_3001G221500;SORBI_3002G042500
BP	Individual lipid species	CTL	TG	microtubule-based movement	GO:0007018	3	53	3	2.43	0.241	0.0467	SORBI_3005G144600;SORBI_3006G035600;SORBI_3007G018700
BP	Individual lipid species	CTL	TG	cellulose biosynthetic process	GO:0030244	3	38	3	3.39	0.143	0.049	SORBI_3001G021500;SORBI_3001G224300;SORBI_3007G100800
BP	Individual lipid species	CTL	TG	regulation of defense response	GO:0031347	3	24	1	5.37	0.067	0.052	SORBI_3001G259400;SORBI_3001G259600;SORBI_3001G259700
BP	Individual lipid species	CTL	TG	response to endoplasmic reticulum stress	GO:0034976	2	21	1	4.09	0.198	0.052	SORBI_3010G194900;SORBI_3010G195200
BP	Individual lipid species	CTL	TG	amino acid metabolic process	GO:0006520	3	42	2	3.07	0.177	0.052	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200
BP	Individual lipid species	CTL	TG	regulation of jasmonic acid mediated signaling pathway	GO:2000022	3	28	1	4.6	0.0784	0.0539	SORBI_3001G259400;SORBI_3001G259600;SORBI_3001G259700
BP	Individual lipid species	CTL	TG	triglyceride biosynthetic process	GO:0019432	2	15	2	5.72	0.121	0.0599	SORBI_3006G034200;SORBI_3010G134400
BP	Individual lipid species	CTL	TG	vesicle-mediated transport	GO:0016192	5	141	5	1.52	0.334	0.0798	SORBI_3001G220900;SORBI_3002G043300;SORBI_3004G136300;SORBI_3004G206700;SORBI_3006G046700
BP	Individual lipid species	CTL	TG	lipid metabolic process	GO:0006629	7	249	7	1.21	0.438	0.0798	SORBI_3001G024200;SORBI_3001G295700;SORBI_3003G358400;SORBI_3005G144300;SORBI_3006G037500;SORBI_3006G248100;SORBI_3008G133200
BP	Individual lipid species	CTL	TG	regulation of DNA-templated transcription	GO:0006355	26	1464	25	0.76	0.954	0.0798	SORBI_3001G023900;SORBI_3001G295600;SORBI_3001G356300;SORBI_3001G501000;SORBI_3002G038500;SORBI_3002G199200;SORBI_3002G202700;SORBI_3003G356200;SORBI_3004G175700;SORBI_3004G207200;SORBI_3005G125100;SORBI_3006G042900;SORBI_3006G080300;SORBI_3006G209850;SORBI_3006G279400;SORBI_3007G008500;SORBI_3007G071000;SORBI_3008G095200;SORBI_3008G096000;SORBI_3008G131400;SORBI_3009G111200;SORBI_3010G146400;SORBI_3010G151325;SORBI_3010G191100;SORBI_3010G194700;SORBI_3010G194900
BP	Individual lipid species	CTL	TG	response to oxidative stress	GO:0006979	6	178	5	1.45	0.334	0.0828	SORBI_3004G105100;SORBI_3004G175500;SORBI_3006G277550;SORBI_3006G277700;SORBI_3008G004800;SORBI_3010G149700
BP	Individual lipid species	CTL	TG	regulation of transcription by RNA polymerase II	GO:0006357	11	442	10	1.07	0.53	0.0857	SORBI_3001G223000;SORBI_3001G501000;SORBI_3002G038500;SORBI_3003G356200;SORBI_3004G140501;SORBI_3004G207200;SORBI_3006G040800;SORBI_3007G090412;SORBI_3007G090421;SORBI_3007G103100;SORBI_3010G194700
BP	Individual lipid species	CTL	TG	phosphatidylinositol dephosphorylation	GO:0046856	2	31	2	2.77	0.284	0.0934	SORBI_3001G496900;SORBI_3004G176200
BP	Individual lipid species	CTL	TG	reproductive structure development	GO:0048608	2	36	2	2.39	0.326	0.0934	SORBI_3001G221500;SORBI_3002G042500
BP	Individual lipid species	CTL	TG	phosphorelay signal transduction system	GO:0000160	3	62	3	2.08	0.29	0.0934	SORBI_3006G035700;SORBI_3007G109400;SORBI_3009G050400
BP	Individual lipid species	CTL	TG	carbohydrate transmembrane transport	GO:0034219	3	47	4	2.74	0.208	0.0942	SORBI_3008G094300;SORBI_3008G094400;SORBI_3009G235900
BP	Individual lipid species	CTL	TG	xylan biosynthetic process	GO:0045492	3	70	1	1.84	0.334	0.0957	SORBI_3008G005100;SORBI_3008G005200;SORBI_3008G005800
BP	Individual lipid species	CTL	TG	RNA metabolic process	GO:0016070	2	30	2	2.86	0.275	0.0963	SORBI_3002G043000;SORBI_3004G140600
BP	Individual lipid species	CTL	TG	regulation of cell cycle	GO:0051726	2	32	2	2.68	0.287	0.0963	SORBI_3001G222300;SORBI_3001G501000
BP	Individual lipid species	CTL	TG	photosynthesis	GO:0015979	3	72	3	1.79	0.334	0.101	SORBI_3007G071500;SORBI_3008G063500;SORBI_3008G131700
BP	Individual lipid species	CTL	TG	phosphatidylinositol phosphate biosynthetic process	GO:0046854	2	27	1	3.18	0.241	0.103	SORBI_3008G062300;SORBI_3008G062400
BP	Individual lipid species	CTL	TG	protein import into nucleus	GO:0006606	2	40	2	2.15	0.334	0.107	SORBI_3006G280000;SORBI_3009G050700
BP	Individual lipid species	CTL	TG	chromatin remodeling	GO:0006338	4	115	4	1.49	0.367	0.107	SORBI_3001G122200;SORBI_3002G043100;SORBI_3006G038400;SORBI_3006G080300
BP	Individual lipid species	CTL	TG	cytoskeleton organization	GO:0007010	2	40	2	2.15	0.334	0.113	SORBI_3001G022800;SORBI_3003G427600
BP	Individual lipid species	CTL	TG	cytokinin-activated signaling pathway	GO:0009736	2	35	2	2.45	0.318	0.113	SORBI_3006G035700;SORBI_3007G109400
BP	Individual lipid species	CTL	TG	carbohydrate metabolic process	GO:0005975	11	466	12	1.01	0.597	0.113	SORBI_3001G357900;SORBI_3003G165800;SORBI_3003G421700;SORBI_3004G208700;SORBI_3006G032800;SORBI_3006G044200;SORBI_3007G086300;SORBI_3007G103000;SORBI_3007G112400;SORBI_3008G063600;SORBI_3010G086500
BP	Individual lipid species	CTL	TG	cell wall modification	GO:0042545	2	44	2	1.95	0.366	0.118	SORBI_3008G131300;SORBI_3009G111000
BP	Individual lipid species	CTL	TG	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0006888	3	83	3	1.55	0.389	0.118	SORBI_3001G023600;SORBI_3001G357400;SORBI_3005G114800
BP	Individual lipid species	CTL	TG	oligopeptide transmembrane transport	GO:0035672	2	28	2	3.07	0.251	0.121	SORBI_3009G089532;SORBI_3009G091300
BP	Individual lipid species	CTL	TG	post-embryonic development	GO:0009791	2	48	2	1.79	0.389	0.126	SORBI_3001G221500;SORBI_3002G042500
BP	Individual lipid species	CTL	TG	proteolysis	GO:0006508	10	474	8	0.91	0.716	0.143	SORBI_3001G320000;SORBI_3003G077400;SORBI_3004G139700;SORBI_3005G102500;SORBI_3006G044400;SORBI_3006G210400;SORBI_3008G131500;SORBI_3008G131651;SORBI_3010G126100;SORBI_3010G126400
